family,window,entry_region,raw_events,active_veto_pass_events,side_compton_fov_pass_events,raw_rate,active_veto_pass_rate,side_compton_fov_pass_rate,active_veto_rejection_fraction_count,compton_fov_rejection_fraction_vs_active_count,total_rejection_fraction_count,active_veto_rejection_fraction_rate,compton_fov_rejection_fraction_vs_active_rate,total_rejection_fraction_rate
atm511,w2_510p58_511p42,bottom,0,0,7,0.0,0.0,0.0013601793882301735,,,,,,
atm511,w2_510p58_511p42,side_wall,0,0,74,0.0,0.0,0.0143790392470047,,,,,,
atm511,w2_510p58_511p42,side_window,0,0,2,0.0,0.0,0.00038862268235147814,,,,,,
atm511,w2_510p58_511p42,top,0,0,24,0.0,0.0,0.004663472188217737,,,,,,
eplus,w2_510p58_511p42,side_wall,31,13,12,0.021050187041097422,0.008827497791427956,0.008148459499779652,0.5806451612903225,0.07692307692307687,0.6129032258064516,0.5806451612903223,0.07692307692307687,0.6129032258064514
eplus,w2_510p58_511p42,side_window,4,1,1,0.0027161531665932173,0.0006790382916483043,0.0006790382916483043,0.75,0.0,0.75,0.75,0.0,0.75
eplus,w2_510p58_511p42,top,14,13,11,0.00950653608307626,0.008827497791427956,0.007469421208131348,0.0714285714285714,0.15384615384615385,0.2142857142857143,0.0714285714285714,0.15384615384615385,0.2142857142857143
eplus,w2_510p58_511p42,unknown,13,13,11,0.008827497791427956,0.008827497791427956,0.007469421208131348,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385
n,w2_510p58_511p42,bottom,10,2,2,0.006785296262998085,0.0013570592525996167,0.0013570592525996167,0.8,0.0,0.8,0.8,0.0,0.8
n,w2_510p58_511p42,side_wall,29,2,2,0.019677359162694436,0.0013570592525996167,0.0013570592525996167,0.9310344827586207,0.0,0.9310344827586207,0.9310344827586207,0.0,0.9310344827586207
n,w2_510p58_511p42,top,13,6,6,0.00882088514189751,0.00407117775779885,0.00407117775779885,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615385,0.0,0.5384615384615385
n,w2_510p58_511p42,unknown,8,3,3,0.0054282370103984675,0.002035588878899425,0.002035588878899425,0.625,0.0,0.625,0.625,0.0,0.625
