source_family,stream,source_file,local_id,veto_class,tes_total_keV,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV,tes_x_cm,tes_y_cm,tes_z_cm,first_hit_volume,first_hit_category,source_scope
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,12403,pass,510.99896,0.0,0.0,keep,True,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,142.273,-1.239972005526078,-0.5379712016048115,-5.4247586372654455,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,34023,pass,510.9989,10.45103344,0.0,single,True,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,10.451,-5.208798422066858,-1.3667209707016983,-0.8879701621669636,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,71105,compton_fov_veto,510.998946,13.46821886,0.0,veto,False,0.65591,-67.77909,-3.85815,-0.24154,0.93213,-0.26981,13.468,-5.792322098795267,0.1363424220874717,-3.202457062232193,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,88910,plastic_skin_veto,510.99890000000005,165.2687181,0.0,keep,True,-58.68781,13.93605,-5.26549,0.95985,0.19029,0.20611,165.269,-5.287654230082883,1.4270428580585983,-2.072448228238456,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,125566,plastic_skin_veto,510.99894,116.95875600000002,0.0,single,True,-27.19745,-51.92485,3.9516,0.42008,0.90034,-0.11368,116.959,-4.656664277133628,-0.018764357147424998,-2.0980333815352723,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,130016,plastic_skin_veto,510.99890500000004,563.0638482300001,0.0,keep,True,-37.46092,-36.74401,36.59293,0.43552,0.82884,-0.35119,563.064,-1.672501463532011,1.1362182244594927,-4.167752720971203,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,211256,pass,510.998959,0.0,0.0,single,True,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,121.248,-2.555734129096525,0.18707813987712762,-6.855378488820089,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,36753,pass,510.99888,0.0,0.0,single,True,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,89.022,-2.165922245858347,-0.6619038864766709,-3.066344431786739,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,90474,pass,510.9989,0.0,0.0,single,True,45.60996,-71.68236,7.59206,-0.51347,0.57023,0.64124,1228.66,-4.92528310557244,0.27189257966962355,-0.7226851435301916,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,130729,plastic_skin_veto,510.99894000000006,168.2195281,0.0,veto,False,-50.22272,10.84363,36.62634,0.83524,0.1996,-0.51239,168.22,-4.161361606802726,-1.337836716044714,-4.402519165867584,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
